naam buurtcombinatie,bc,kies gerechtigden,blanco  stemmen,totaal,PVDA,VVD,GL,CDA,SP,D66,LA 92,AA/DG,MM,PVDT,PVASD
Burgwallen-Oude Zijde,A00,3237,5,1713,429,401,307,49,222,134,13,81,18,5,3
Burgwallen-Nieuwe Zijde,A01,2564,4,1273,304,355,212,39,142,109,5,56,12,2,0
Grachtengordel-West,A02,7542,19,3872,1055,1085,661,94,371,323,27,109,41,7,8
Grachtengordel-Zuid,A03,3760,7,2050,505,689,274,61,162,197,7,68,32,7,2
Nieuwmarkt/Lastage,A04,7910,16,4985,1469,895,1022,61,813,327,22,222,31,11,8
Haarlemmerbuurt,A05,5941,12,3495,1054,561,645,56,663,195,28,129,49,17,11
Jordaan,A06,15699,43,8888,2693,1514,1628,178,1517,523,99,305,128,30,20
De Weteringschans,A07,5487,14,3172,906,820,551,65,320,283,16,94,32,9,1
Weesperbuurt/Plantage,A08,6457,16,3675,1161,639,751,120,463,260,13,125,33,8,3
Oostelijke Eilanden/Kadijken,A09,10255,20,5914,2029,615,1241,103,1079,289,39,281,37,25,15
Westelijk Havengebied + Bedrijventerrein Sloterdijk,B10+B11,296,1,105,17,9,7,2,33,3,1,19,4,0,0
Spaarndammer- en Zeeheldenbuurt + Houthavens,C13+C12 ,9710,38,4749,1752,438,916,93,899,149,79,168,14,29,16
Staatsliedenbuurt,C14,9395,20,5042,1687,474,1076,81,1046,224,58,159,23,17,12
Centrale Markt,C15,1814,6,886,293,65,191,21,185,33,11,28,7,5,5
Frederik Hendrikbuurt,C16,6817,15,3589,1148,483,694,88,665,190,36,101,16,12,14
Da Costabuurt,D17,3754,11,2161,648,421,416,48,354,120,35,43,7,8,4
Kinkerbuurt,D18,4227,7,2296,739,381,406,41,433,128,45,58,3,5,6
Van Lennepbuurt,D19,6226,16,3294,1202,389,639,50,613,118,46,87,8,15,12
Helmersbuurt,D20,4968,16,2892,866,678,556,91,366,173,24,57,7,6,11
Overtoomse Sluis,D21,6524,16,3632,1081,740,687,71,583,232,40,77,12,10,5
Vondelbuurt,D22,1062,2,641,190,153,119,23,71,57,3,12,0,2,0
Indische Buurt West,G31,9610,24,4768,2442,393,651,99,599,152,27,113,8,41,21
Indische Buurt Oost,G32,8317,18,4023,2107,282,519,89,527,130,40,81,17,25,17
Oostelijk Havengebied,G33,12349,34,7961,2893,1621,1331,205,905,605,24,157,17,23,13
IJburg West + Zeeburgereiland/Nieuwe Diep,G35+G34,2268,4,1347,459,358,166,52,117,128,4,9,8,6,3
Landlust + Sloterdijk,H37+H36,13222,25,6273,2827,644,987,152,745,297,77,115,89,49,29
Erasmuspark,H38,4525,18,2305,1074,299,337,67,233,113,24,15,28,19,11
De Kolenkit,H39,4525,9,2120,1360,107,209,36,210,32,13,7,27,32,4
De Krommert,J40,9264,22,5001,2102,673,856,143,587,253,76,75,15,24,18
Van Galenbuurt,J41,4613,13,2154,975,215,355,49,275,102,23,40,7,19,9
Hoofdweg e.o.,J42,8192,14,3999,1870,427,615,98,481,194,33,55,14,14,14
Westindische Buurt,J43,5243,8,2814,1101,484,421,117,313,179,49,44,6,8,7
Volewijck + Buiksloterham,N60+N71,7952,18,3258,1416,226,331,95,679,60,106,84,15,20,21
IJplein/Vogelbuurt + Nieuwendammerham,N61+N72,6100,12,2729,1305,222,304,78,460,28,64,67,9,20,17
Tuindorp Nieuwendam,N62,3679,6,2162,903,210,213,89,404,35,86,74,5,9,8
Tuindorp Buiksloot + Nieuwendammerdijk/Buiksloterdijk,N63+N64,2310,4,1319,538,145,179,42,225,38,35,28,12,3,8
Tuindorp Oostzaan,N65,8445,17,3901,1706,384,224,216,675,56,178,75,42,19,28
Oostzanerwerf,N66,5929,13,2879,1197,387,204,216,452,58,89,36,17,17,15
Kadoelen,N67,2316,10,1285,425,256,125,74,195,25,67,25,5,7,3
Nieuwendam-Noord,N68,9140,23,4319,2056,602,344,354,456,70,82,72,13,27,22
Buikslotermeer,N69,9329,25,4927,2166,776,380,394,610,107,104,80,12,18,13
Banne Buiksloot,N70,9847,20,4594,2254,498,332,219,652,67,120,68,24,33,23
Waterland,N73,823,4,558,155,102,72,79,43,29,4,48,1,2,1
Slotermeer-Noordoost + Spieringhorn,P76+P75,6352,15,2843,1408,336,253,140,328,51,62,25,6,26,16
Slotermeer-Zuidwest,P77,11214,15,5164,2462,598,468,343,593,109,93,39,23,34,31
Geuzenveld,P78,9059,25,4013,2321,340,310,229,364,42,105,17,21,35,17
Eendracht,P79,2743,7,1380,641,248,81,76,162,9,34,4,8,11,9
Lutkemeer/Ookmeer,Q80,605,1,276,47,103,11,53,18,11,19,2,1,0,3
Osdorp-Oost,Q81,10981,25,5832,2514,850,469,588,656,120,137,42,31,17,27
Osdorp-Midden,Q82,7795,16,3427,1953,289,223,234,360,57,68,17,9,16,21
De Punt,Q83,3938,10,1737,766,287,115,139,182,38,41,7,9,14,12
Middelveldsche Akerpolder/Sloten,Q84,10533,28,5730,2331,1266,436,425,505,214,145,24,31,33,14
Slotervaart,R85,12760,22,6831,3074,1149,605,571,679,166,98,56,24,25,24
Overtoomse Veld,R86,6476,14,3261,1889,378,236,159,259,88,33,19,4,11,21
Westlandgracht,R87,3957,14,1888,840,361,159,87,220,68,30,10,5,11,6
Sloter-/Riekerpolder,R88,9083,21,4974,1901,1129,546,343,476,164,99,28,23,21,25
"Bijlmer Centrum (D,F,H)",T93,14220,27,5580,3676,379,347,149,408,64,52,32,21,58,32
"Bijlmer Oost (E,G,K)",T94,16576,30,7659,4334,750,514,307,757,95,107,73,116,51,24
Nellestein,T95,2333,5,1308,455,278,139,89,188,26,37,10,11,4,4
Holendrecht/Reigersbos + Amstel III/Bullewijk,T96+T92,13706,28,6599,3434,654,541,299,855,80,125,47,48,21,24
Gein,T97,8884,17,4465,2133,630,388,147,572,80,84,30,32,26,18
Driemond,T98,1221,3,683,137,262,51,62,94,18,15,1,6,3,2
Weesperzijde,U27,4116,15,2163,767,246,465,44,353,105,14,57,13,8,5
Oosterparkbuurt,U28,8104,21,4316,1632,463,882,82,733,159,40,122,16,20,8
Dapperbuurt,U29,6691,23,3446,1481,331,605,66,577,96,22,88,8,25,18
Transvaalbuurt,U30,6867,13,3521,1511,284,775,57,502,130,28,79,12,11,8
Frankendael + De Omval,U55+U58,8919,25,4862,1713,764,744,297,701,170,62,128,20,19,13
Middenmeer,U56,9368,38,6212,2100,1056,1120,343,821,329,54,89,26,25,15
Betondorp,U57,2527,8,1284,471,117,95,60,325,21,43,19,10,13,14
Oude Pijp,V24,11325,27,5948,1743,1014,1221,100,972,335,46,210,42,29,21
Nieuwe Pijp,V25,9843,26,5178,1746,848,955,173,787,245,39,125,23,27,14
Diamantbuurt,V26,6935,18,3656,1492,313,621,76,688,132,39,108,13,18,12
Hoofddorppleinbuurt,V44,9168,17,4962,1511,1119,746,208,627,258,61,137,36,27,16
Schinkelbuurt,V45,3729,13,1989,668,410,334,58,262,98,21,53,5,2,4
Willemspark,V46,3563,7,2118,713,487,312,75,285,99,14,38,6,10,1
Museumkwartier,V47,9659,22,6156,1830,1868,869,272,512,431,17,124,25,15,16
Stadionbuurt,V48,7479,20,4087,1376,794,562,152,627,154,45,142,20,16,17
Apollobuurt,V49,6395,16,3897,904,1697,412,228,185,251,18,38,19,10,6
Duivelseiland,V50,1135,3,646,193,167,97,27,75,45,5,18,2,1,2
Scheldebuurt,W52,10294,30,6172,1964,1353,891,357,878,332,33,88,28,11,16
IJselbuurt,W53,4987,7,2778,963,521,458,94,442,96,25,40,15,11,9
Rijnbuurt,W54,7348,28,4193,1398,731,615,182,759,196,31,51,23,14,10
Station Zuid/WTC e.o.,W59,962,3,684,135,323,61,60,26,45,2,7,1,0,0
Buitenveldert-West,W90,10008,20,5743,1577,1796,457,575,621,203,54,29,25,15,16
Buitenveldert-Oost,W91,5775,14,3171,888,1067,220,291,360,83,29,15,18,10,11
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,