naam buurtcombinatie,bc,opkomst %,totaal,PVDA,VVD,GL,CDA,SP,D66,LA 92,AA/DG,MM,PVDT,PVASD
Burgwallen-Oude Zijde,A00,53.1,100,25,23.4,17.9,2.9,13,7.8,0.8,4.7,1.1,0.3,0.2
Burgwallen-Nieuwe Zijde,A01,49.8,100,23.9,27.9,16.7,3.1,11.2,8.6,0.4,4.4,0.9,0.2,0
Grachtengordel-West,A02,51.6,100,27.2,28,17.1,2.4,9.6,8.3,0.7,2.8,1.1,0.2,0.2
Grachtengordel-Zuid,A03,54.7,100,24.6,33.6,13.4,3,7.9,9.6,0.3,3.3,1.6,0.3,0.1
Nieuwmarkt/Lastage,A04,63.2,100,29.5,18,20.5,1.2,16.3,6.6,0.4,4.5,0.6,0.2,0.2
Haarlemmerbuurt,A05,59,100,30.2,16.1,18.5,1.6,19,5.6,0.8,3.7,1.4,0.5,0.3
Jordaan,A06,56.9,100,30.3,17,18.3,2,17.1,5.9,1.1,3.4,1.4,0.3,0.2
De Weteringschans,A07,58.1,100,28.6,25.9,17.4,2,10.1,8.9,0.5,3,1,0.3,0
Weesperbuurt/Plantage,A08,57.2,100,31.6,17.4,20.4,3.3,12.6,7.1,0.4,3.4,0.9,0.2,0.1
Oostelijke Eilanden/Kadijken,A09,57.9,100,34.3,10.4,21,1.7,18.2,4.9,0.7,4.8,0.6,0.4,0.3
Westelijk Havengebied + Bedrijventerrein Sloterdijk,B10+B11,35.8,100,16.2,8.6,6.7,1.9,31.4,2.9,1,18.1,3.8,0,0
Spaarndammer- en Zeeheldenbuurt + Houthavens,C13+C12 ,49.3,100,36.9,9.2,19.3,2,18.9,3.1,1.7,3.5,0.3,0.6,0.3
Staatsliedenbuurt,C14,53.9,100,33.5,9.4,21.3,1.6,20.7,4.4,1.2,3.2,0.5,0.3,0.2
Centrale Markt,C15,49.2,100,33.1,7.3,21.6,2.4,20.9,3.7,1.2,3.2,0.8,0.6,0.6
Frederik Hendrikbuurt,C16,52.9,100,32,13.5,19.3,2.5,18.5,5.3,1,2.8,0.4,0.3,0.4
Da Costabuurt,D17,57.9,100,30,19.5,19.3,2.2,16.4,5.6,1.6,2,0.3,0.4,0.2
Kinkerbuurt,D18,54.5,100,32.2,16.6,17.7,1.8,18.9,5.6,2,2.5,0.1,0.2,0.3
Van Lennepbuurt,D19,53.2,100,36.5,11.8,19.4,1.5,18.6,3.6,1.4,2.6,0.2,0.5,0.4
Helmersbuurt,D20,58.5,100,29.9,23.4,19.2,3.1,12.7,6,0.8,2,0.2,0.2,0.4
Overtoomse Sluis,D21,55.9,100,29.8,20.4,18.9,2,16.1,6.4,1.1,2.1,0.3,0.3,0.1
Vondelbuurt,D22,60.5,100,29.6,23.9,18.6,3.6,11.1,8.9,0.5,1.9,0,0.3,0
Indische Buurt West,G31,49.9,100,51.2,8.2,13.7,2.1,12.6,3.2,0.6,2.4,0.2,0.9,0.4
Indische Buurt Oost,G32,48.6,100,52.4,7,12.9,2.2,13.1,3.2,1,2,0.4,0.6,0.4
Oostelijk Havengebied,G33,64.7,100,36.3,20.4,16.7,2.6,11.4,7.6,0.3,2,0.2,0.3,0.2
IJburg West + Zeeburgereiland/Nieuwe Diep,G35+G34,59.6,100,34.1,26.6,12.3,3.9,8.7,9.5,0.3,0.7,0.6,0.4,0.2
Landlust + Sloterdijk,H37+H36,47.6,100,45.1,10.3,15.7,2.4,11.9,4.7,1.2,1.8,1.4,0.8,0.5
Erasmuspark,H38,51.3,100,46.6,13,14.6,2.9,10.1,4.9,1,0.7,1.2,0.8,0.5
De Kolenkit,H39,47,100,64.2,5,9.9,1.7,9.9,1.5,0.6,0.3,1.3,1.5,0.2
De Krommert,J40,54.2,100,42,13.5,17.1,2.9,11.7,5.1,1.5,1.5,0.3,0.5,0.4
Van Galenbuurt,J41,47,100,45.3,10,16.5,2.3,12.8,4.7,1.1,1.9,0.3,0.9,0.4
Hoofdweg e.o.,J42,49,100,46.8,10.7,15.4,2.5,12,4.9,0.8,1.4,0.4,0.4,0.4
Westindische Buurt,J43,53.8,100,39.1,17.2,15,4.2,11.1,6.4,1.7,1.6,0.2,0.3,0.2
Volewijck + Buiksloterham,N60+N71,41.2,100,43.5,6.9,10.2,2.9,20.8,1.8,3.3,2.6,0.5,0.6,0.6
IJplein/Vogelbuurt + Nieuwendammerham,N61+N72,44.9,100,47.8,8.1,11.1,2.9,16.9,1,2.3,2.5,0.3,0.7,0.6
Tuindorp Nieuwendam,N62,58.9,100,41.8,9.7,9.9,4.1,18.7,1.6,4,3.4,0.2,0.4,0.4
Tuindorp Buiksloot + Nieuwendammerdijk/Buiksloterdijk,N63+N64,57.3,100,40.8,11,13.6,3.2,17.1,2.9,2.7,2.1,0.9,0.2,0.6
Tuindorp Oostzaan,N65,46.4,100,43.7,9.8,5.7,5.5,17.3,1.4,4.6,1.9,1.1,0.5,0.7
Oostzanerwerf,N66,48.8,100,41.6,13.4,7.1,7.5,15.7,2,3.1,1.3,0.6,0.6,0.5
Kadoelen,N67,55.9,100,33.1,19.9,9.7,5.8,15.2,1.9,5.2,1.9,0.4,0.5,0.2
Nieuwendam-Noord,N68,47.5,100,47.6,13.9,8,8.2,10.6,1.6,1.9,1.7,0.3,0.6,0.5
Buikslotermeer,N69,53.1,100,44,15.7,7.7,8,12.4,2.2,2.1,1.6,0.2,0.4,0.3
Banne Buiksloot,N70,46.9,100,49.1,10.8,7.2,4.8,14.2,1.5,2.6,1.5,0.5,0.7,0.5
Waterland,N73,68.3,100,27.8,18.3,12.9,14.2,7.7,5.2,0.7,8.6,0.2,0.4,0.2
Slotermeer-Noordoost + Spieringhorn,P76+P75,45,100,49.5,11.8,8.9,4.9,11.5,1.8,2.2,0.9,0.2,0.9,0.6
Slotermeer-Zuidwest,P77,46.2,100,47.7,11.6,9.1,6.6,11.5,2.1,1.8,0.8,0.4,0.7,0.6
Geuzenveld,P78,44.6,100,57.8,8.5,7.7,5.7,9.1,1,2.6,0.4,0.5,0.9,0.4
Eendracht,P79,50.6,100,46.4,18,5.9,5.5,11.7,0.7,2.5,0.3,0.6,0.8,0.7
Lutkemeer/Ookmeer,Q80,45.8,100,17,37.3,4,19.2,6.5,4,6.9,0.7,0.4,0,1.1
Osdorp-Oost,Q81,53.3,100,43.1,14.6,8,10.1,11.2,2.1,2.3,0.7,0.5,0.3,0.5
Osdorp-Midden,Q82,44.2,100,57,8.4,6.5,6.8,10.5,1.7,2,0.5,0.3,0.5,0.6
De Punt,Q83,44.4,100,44.1,16.5,6.6,8,10.5,2.2,2.4,0.4,0.5,0.8,0.7
Middelveldsche Akerpolder/Sloten,Q84,54.7,100,40.7,22.1,7.6,7.4,8.8,3.7,2.5,0.4,0.5,0.6,0.2
Slotervaart,R85,53.7,100,45,16.8,8.9,8.4,9.9,2.4,1.4,0.8,0.4,0.4,0.4
Overtoomse Veld,R86,50.6,100,57.9,11.6,7.2,4.9,7.9,2.7,1,0.6,0.1,0.3,0.6
Westlandgracht,R87,48.1,100,44.5,19.1,8.4,4.6,11.7,3.6,1.6,0.5,0.3,0.6,0.3
Sloter-/Riekerpolder,R88,55,100,38.2,22.7,11,6.9,9.6,3.3,2,0.6,0.5,0.4,0.5
"Bijlmer Centrum (D,F,H)",T93,39.4,100,65.9,6.8,6.2,2.7,7.3,1.1,0.9,0.6,0.4,1,0.6
"Bijlmer Oost (E,G,K)",T94,46.4,100,56.6,9.8,6.7,4,9.9,1.2,1.4,1,1.5,0.7,0.3
Nellestein,T95,56.3,100,34.8,21.3,10.6,6.8,14.4,2,2.8,0.8,0.8,0.3,0.3
Holendrecht/Reigersbos + Amstel III/Bullewijk,T96+T92,48.4,100,52,9.9,8.2,4.5,13,1.2,1.9,0.7,0.7,0.3,0.4
Gein,T97,50.5,100,47.8,14.1,8.7,3.3,12.8,1.8,1.9,0.7,0.7,0.6,0.4
Driemond,T98,56.2,100,20.1,38.4,7.5,9.1,13.8,2.6,2.2,0.1,0.9,0.4,0.3
Weesperzijde,U27,52.9,100,35.5,11.4,21.5,2,16.3,4.9,0.6,2.6,0.6,0.4,0.2
Oosterparkbuurt,U28,53.5,100,37.8,10.7,20.4,1.9,17,3.7,0.9,2.8,0.4,0.5,0.2
Dapperbuurt,U29,51.8,100,43,9.6,17.6,1.9,16.7,2.8,0.6,2.6,0.2,0.7,0.5
Transvaalbuurt,U30,51.5,100,42.9,8.1,22,1.6,14.3,3.7,0.8,2.2,0.3,0.3,0.2
Frankendael + De Omval,U55+U58,54.8,100,35.2,15.7,15.3,6.1,14.4,3.5,1.3,2.6,0.4,0.4,0.3
Middenmeer,U56,66.7,100,33.8,17,18,5.5,13.2,5.3,0.9,1.4,0.4,0.4,0.2
Betondorp,U57,51.1,100,36.7,9.1,7.4,4.7,25.3,1.6,3.3,1.5,0.8,1,1.1
Oude Pijp,V24,52.8,100,29.3,17,20.5,1.7,16.3,5.6,0.8,3.5,0.7,0.5,0.4
Nieuwe Pijp,V25,52.9,100,33.7,16.4,18.4,3.3,15.2,4.7,0.8,2.4,0.4,0.5,0.3
Diamantbuurt,V26,53,100,40.8,8.6,17,2.1,18.8,3.6,1.1,3,0.4,0.5,0.3
Hoofddorppleinbuurt,V44,54.3,100,30.5,22.6,15,4.2,12.6,5.2,1.2,2.8,0.7,0.5,0.3
Schinkelbuurt,V45,53.7,100,33.6,20.6,16.8,2.9,13.2,4.9,1.1,2.7,0.3,0.1,0.2
Willemspark,V46,59.6,100,33.7,23,14.7,3.5,13.5,4.7,0.7,1.8,0.3,0.5,0
Museumkwartier,V47,64,100,29.7,30.3,14.1,4.4,8.3,7,0.3,2,0.4,0.2,0.3
Stadionbuurt,V48,54.9,100,33.7,19.4,13.8,3.7,15.3,3.8,1.1,3.5,0.5,0.4,0.4
Apollobuurt,V49,61.2,100,23.2,43.5,10.6,5.9,4.7,6.4,0.5,1,0.5,0.3,0.2
Duivelseiland,V50,57.2,100,29.9,25.9,15,4.2,11.6,7,0.8,2.8,0.3,0.2,0.3
Scheldebuurt,W52,60.2,100,31.8,21.9,14.4,5.8,14.2,5.4,0.5,1.4,0.5,0.2,0.3
IJselbuurt,W53,55.8,100,34.7,18.8,16.5,3.4,15.9,3.5,0.9,1.4,0.5,0.4,0.3
Rijnbuurt,W54,57.4,100,33.3,17.4,14.7,4.3,18.1,4.7,0.7,1.2,0.5,0.3,0.2
Station Zuid/WTC e.o.,W59,71.4,100,19.7,47.2,8.9,8.8,3.8,6.6,0.3,1,0.1,0,0
Buitenveldert-West,W90,57.6,100,27.5,31.3,8,10,10.8,3.5,0.9,0.5,0.4,0.3,0.3
Buitenveldert-Oost,W91,55.2,100,28,33.6,6.9,9.2,11.4,2.6,0.9,0.5,0.6,0.3,0.3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,